Time,Pressure,Concentration
(s),(psi),(mM)
2855,59.742,89.0448057
2860,59.745,89.10456504
2865,59.748,89.16576436
2870,59.747,89.22862133
2875,59.737,89.29242434
2880,59.678,89.35518086
2885,59.622,89.41358393
2890,59.57,89.46553219
2895,59.518,89.51131866
2900,59.465,89.5540912
2905,59.414,89.59706468
2910,59.361,89.64141954
2915,59.31,89.68724786
2920,59.259,89.73475059
2925,59.208,89.78356772
2930,59.16,89.8335067
2935,59.108,89.88208942
2940,59.058,89.92695497
2945,59.009,89.96810335
2950,58.959,90.00759407
2955,58.91,90.04804758
2960,58.884,90.09184988
2965,58.894,90.13879168
2970,58.902,90.19001995
2975,58.908,90.24565189
2980,58.914,90.30438984
2985,58.922,90.36419104
2990,58.929,90.42452804
2995,58.934,90.48530039
3000,58.941,90.54670901
3005,58.947,90.60870367
3010,58.954,90.671276
3015,58.96,90.73255067
3020,58.962,90.79205884
3025,58.967,90.85059587
3030,58.974,90.91017102
3035,58.979,90.9716801
3040,58.986,91.03507289
3045,58.993,91.09760336
3050,58.998,91.15944732
3055,59.004,91.22073873
3060,59.013,91.28071574
3065,59.018,91.33916904
3070,59.025,91.39685212
3075,59.031,91.4534301
3080,59.038,91.51040993
3085,59.044,91.56858696
3090,59.051,91.6275677
3095,59.056,91.68821447
3100,59.062,91.7497403
3105,59.068,91.81056288
3110,59.073,91.87012966
3115,59.08,91.92839878
3120,59.084,91.98579721
3125,59.089,92.04377331
3130,59.095,92.10282102
3135,59.1,92.16230408
3140,59.106,92.22151087
3145,59.111,92.28023208
3150,59.117,92.33859329
3155,59.122,92.39871262
3160,59.128,92.45956032
3165,59.132,92.51930291
3170,59.137,92.57629111
3175,59.141,92.63273514
3180,59.146,92.6893466
3185,59.151,92.74677015
3190,59.156,92.80297138
3195,59.162,92.85846937
3200,59.167,92.9136576
3205,59.17,92.96895466
3210,59.177,93.02379126
3215,59.181,93.0794232
3220,59.187,93.1369807
3225,59.19,93.19608702
3230,59.196,93.25557845
3235,59.199,93.31415733
3240,59.206,93.37207483
3245,59.21,93.43070394
3250,59.215,93.48996096
3255,59.22,93.54859008
3260,59.226,93.60606386
3265,59.23,93.66184649
3270,59.238,93.71614728
3275,59.244,93.7701132
3280,59.248,93.82440562
3285,59.252,93.87995384
3290,59.256,93.93756994
3295,59.261,93.99601487
3300,59.265,94.05410818
3305,59.27,94.11199219
3310,59.274,94.16990131
3315,59.277,94.22799462
3320,59.281,94.2854684
3325,59.285,94.34100825
3330,59.29,94.39442161
3335,59.295,94.44742474
